topic_id,topic_word,prob
6,못하,0.004158054944127798
6,세계,0.003988909535109997
6,생각,0.0039292192086577415
6,정책,0.003881703596562147
6,계획,0.003839020850136876
6,모든,0.0037169824354350567
6,말하,0.0035717026330530643
6,문제,0.0035600175615400076
6,때문,0.0034514376893639565
6,이러하,0.003424548078328371
6,회의,0.0033335797488689423
6,필요,0.0032505947165191174
6,전쟁,0.0032204519957304
6,그렇,0.0032124121207743883
6,국민,0.0030547387432307005
6,사실,0.002972436137497425
6,혁명,0.0028733580838888884
6,점령,0.0028636299539357424
7,소련,0.012905244715511799
7,대하,0.01225893571972847
7,미국,0.009644783101975918
7,스탈린,0.00741389486938715
7,그것,0.0065543013624846935
7,가지,0.005790783558040857
7,대통령,0.005398039240390062
7,정부,0.005149384494870901
7,국민,0.00506595429033041
