Topics,Alpha,Eta,Coherence
7,0.007,0.05,0.299769104877627
7,0.007,0.06,0.30729598178644185
7,0.007,0.07,0.3299284377309105
7,0.007,0.08,0.3290229868892675
7,0.007,0.09,0.27456652426039124
7,0.007,0.1,0.27448974639521895
7,0.008,0.01,0.2993172048795551
7,0.008,0.02,0.2971695154180153
7,0.008,0.03,0.29716951541801534
7,0.008,0.04,0.2971695154180153
7,0.008,0.05,0.3038153507242062
7,0.008,0.06,0.30393288870499546
7,0.008,0.07,0.3290229868892675
7,0.008,0.08,0.3290229868892675
7,0.008,0.09,0.27456652426039124
7,0.008,0.1,0.27448974639521895
7,0.009000000000000001,0.01,0.2993172048795551
7,0.009000000000000001,0.02,0.2971695154180153
7,0.009000000000000001,0.03,0.29716951541801534
7,0.009000000000000001,0.04,0.2971695154180153
7,0.009000000000000001,0.05,0.3038153507242062
7,0.009000000000000001,0.06,0.30393288870499546
7,0.009000000000000001,0.07,0.3290229868892675
7,0.009000000000000001,0.08,0.3290229868892675
7,0.009000000000000001,0.09,0.27456652426039124
7,0.009000000000000001,0.1,0.27448974639521895
7,0.01,0.01,0.2993172048795551
7,0.01,0.02,0.2971695154180153
7,0.01,0.03,0.29716951541801534
7,0.01,0.04,0.2971695154180153
7,0.01,0.05,0.3038153507242062
7,0.01,0.06,0.298243264578365
7,0.01,0.07,0.3290229868892675
7,0.01,0.08,0.3290229868892675
7,0.01,0.09,0.27456652426039124
7,0.01,0.1,0.27448974639521895
8,0.001,0.01,0.3373369608229262
8,0.001,0.02,0.3295846579627341
8,0.001,0.03,0.3296132758440563
8,0.001,0.04,0.3287979555271514
8,0.001,0.05,0.3287979555271514
8,0.001,0.06,0.3287979555271514
8,0.001,0.07,0.3252122477208511
8,0.001,0.08,0.32862362273749957
8,0.001,0.09,0.3308046073682185
8,0.001,0.1,0.3308046073682185
8,0.002,0.01,0.3373369608229262
8,0.002,0.02,0.3295846579627341
8,0.002,0.03,0.3296132758440563
8,0.002,0.04,0.3287979555271514
8,0.002,0.05,0.3287979555271514
8,0.002,0.06,0.3287979555271514
8,0.002,0.07,0.3252122477208511
8,0.002,0.08,0.32862362273749957
8,0.002,0.09,0.3308046073682185
8,0.002,0.1,0.3308046073682185
8,0.003,0.01,0.3373369608229262
8,0.003,0.02,0.3295846579627341
8,0.003,0.03,0.3296132758440563
8,0.003,0.04,0.3287979555271514
8,0.003,0.05,0.3287979555271514
8,0.003,0.06,0.3287979555271514
8,0.003,0.07,0.3252122477208511
8,0.003,0.08,0.32862362273749957
8,0.003,0.09,0.3308046073682185
8,0.003,0.1,0.3308046073682185
8,0.004,0.01,0.3373369608229262
8,0.004,0.02,0.3295846579627341
8,0.004,0.03,0.3296132758440563
8,0.004,0.04,0.3287979555271514
8,0.004,0.05,0.3287979555271514
8,0.004,0.06,0.3287979555271514
8,0.004,0.07,0.3252122477208511
8,0.004,0.08,0.32862362273749957
8,0.004,0.09,0.3308046073682185
8,0.004,0.1,0.3308046073682185
8,0.005,0.01,0.3373369608229262
8,0.005,0.02,0.3295846579627341
8,0.005,0.03,0.3296132758440563
8,0.005,0.04,0.3287979555271514
8,0.005,0.05,0.3287979555271514
8,0.005,0.06,0.3287979555271514
8,0.005,0.07,0.3252122477208511
8,0.005,0.08,0.32862362273749957
8,0.005,0.09,0.3308046073682185
8,0.005,0.1,0.3308046073682185
