Topics,Alpha,Eta,Coherence
9,0.01,0.21000000000000002,0.2700971667161449
9,0.01,0.41000000000000003,0.2680607056651428
9,0.01,0.6100000000000001,0.2681951859672531
9,0.01,0.81,0.26846247526251077
9,0.21000000000000002,0.01,0.26914923400845936
9,0.21000000000000002,0.21000000000000002,0.2700971667161449
9,0.21000000000000002,0.41000000000000003,0.2680607056651428
9,0.21000000000000002,0.6100000000000001,0.2681951859672531
9,0.21000000000000002,0.81,0.26846247526251077
9,0.41000000000000003,0.01,0.26914923400845936
9,0.41000000000000003,0.21000000000000002,0.2700971667161449
9,0.41000000000000003,0.41000000000000003,0.2680607056651428
9,0.41000000000000003,0.6100000000000001,0.2681951859672531
9,0.41000000000000003,0.81,0.26846247526251077
9,0.6100000000000001,0.01,0.26914923400845936
9,0.6100000000000001,0.21000000000000002,0.2700971667161449
9,0.6100000000000001,0.41000000000000003,0.2680607056651428
9,0.6100000000000001,0.6100000000000001,0.2681951859672531
9,0.6100000000000001,0.81,0.26846247526251077
9,0.81,0.01,0.26914923400845936
9,0.81,0.21000000000000002,0.2700971667161449
9,0.81,0.41000000000000003,0.2680607056651428
9,0.81,0.6100000000000001,0.2681951859672531
9,0.81,0.81,0.26846247526251077
